V_norm,N7190621-0-1,N7190621-0-2,N7190621-0-3,N7190621-1,N7190621-1-1,N7190621-1-2,N7190621-1-3,N7190621-1-4,N7190621-2,N7190621-2-1,N7190621-2-2,N7190621-2-3,N7190621-2-4
0,0.999805,0.999652,1.000142,1.000373,0.999687,1.000558,1.000057,1.000209,0.999779,1.000244,0.999631,0.999834,0.999813
0.01,0.998482,0.997736,0.998116,0.999285,0.999613,0.999862,0.999794,0.999512,0.999827,1.000006,0.999929,1.000127,1.000218
0.02,0.996571,0.995839,0.995533,0.999705,0.999854,0.999508,0.999896,0.99901,1.000627,0.999672,0.999738,1.000065,1.000343
0.03,0.994563,0.993529,0.993067,0.999371,0.999735,0.999477,0.999661,0.999189,0.999959,0.999499,0.999347,0.999957,1.000141
0.04,0.992545,0.991021,0.990636,0.999784,0.999829,0.99932,0.99972,0.999411,1.000012,0.999437,0.999229,1.000194,0.999781
0.05,0.989785,0.989189,0.98796,0.999451,0.999558,0.998913,0.999644,0.999014,0.999434,0.999289,0.998721,0.999648,0.999232
0.06,0.987713,0.986149,0.984444,0.999419,0.999496,0.998119,0.999469,0.998746,0.999887,0.999031,0.998716,0.999513,0.999631
0.07,0.985015,0.982798,0.981371,0.999562,0.999142,0.99906,0.999182,0.998694,0.999221,0.9987,0.998055,0.999611,0.999485
0.08,0.982635,0.980002,0.978235,0.999249,0.99938,0.998328,0.998735,0.998812,0.999481,0.998339,0.998591,0.999454,0.999327
0.09,0.979857,0.976386,0.975519,0.999431,0.999395,0.998093,0.998989,0.998775,0.998947,0.998844,0.998185,0.998894,0.998959
0.1,0.976904,0.972978,0.971413,0.999343,0.999277,0.998137,0.998625,0.998455,0.999665,0.998955,0.998286,0.998941,0.998758
0.11,0.973757,0.969096,0.967181,0.999251,0.999461,0.998123,0.999295,0.998639,0.998707,0.998476,0.997921,0.998574,0.998271
0.12,0.970236,0.965185,0.962963,0.998898,0.99906,0.998021,0.999094,0.998413,0.998653,0.99861,0.998183,0.998631,0.998622
0.13,0.966235,0.96032,0.95849,0.999612,0.998995,0.99795,0.998543,0.998681,0.998524,0.998613,0.998015,0.998149,0.998215
0.14,0.961976,0.955948,0.954187,0.998481,0.998432,0.997583,0.998753,0.998056,0.998551,0.998401,0.997628,0.997855,0.997866
0.15,0.957741,0.950626,0.949369,0.999167,0.999134,0.998006,0.998367,0.997487,0.997883,0.997928,0.997578,0.99775,0.99803
0.16,0.953037,0.946251,0.9437,0.998696,0.998569,0.997857,0.99862,0.997708,0.998166,0.997979,0.99749,0.997491,0.997467
0.17,0.94772,0.940256,0.938414,0.998993,0.999035,0.99774,0.998529,0.997666,0.997198,0.997519,0.997155,0.997101,0.99723
0.18,0.942757,0.934368,0.932579,0.99855,0.99849,0.997751,0.998546,0.997698,0.997659,0.997182,0.996995,0.997157,0.997058
0.19,0.93743,0.928434,0.92664,0.998552,0.998407,0.997372,0.998551,0.997561,0.996297,0.996903,0.99679,0.99675,0.996538
0.2,0.932383,0.922147,0.920197,0.998095,0.998066,0.997399,0.998387,0.997693,0.99738,0.996606,0.996353,0.99658,0.996194
0.21,0.926686,0.915357,0.913559,0.998444,0.997839,0.997428,0.998539,0.997171,0.996886,0.996377,0.995995,0.996199,0.996018
0.22,0.92059,0.908384,0.906975,0.998031,0.997637,0.997364,0.998175,0.996837,0.996703,0.996132,0.995786,0.996025,0.996069
0.23,0.913747,0.901442,0.900192,0.99787,0.997868,0.997267,0.99839,0.997277,0.99663,0.995833,0.995664,0.99548,0.995692
0.24,0.907455,0.894339,0.89255,0.997604,0.997695,0.99755,0.997772,0.996633,0.996985,0.995515,0.995203,0.995093,0.994929
0.25,0.900214,0.88738,0.8853,0.997434,0.997674,0.997311,0.997804,0.996318,0.995902,0.994913,0.995085,0.994543,0.99523
0.26,0.893012,0.880094,0.877298,0.997319,0.997597,0.997008,0.996647,0.996022,0.996014,0.99473,0.994913,0.994328,0.994164
0.27,0.885645,0.87167,0.870203,0.997072,0.997479,0.996559,0.99771,0.996389,0.995276,0.994022,0.994046,0.99388,0.993947
0.28,0.87799,0.863778,0.861747,0.997351,0.997421,0.996265,0.997773,0.996362,0.994637,0.993508,0.993228,0.993235,0.993371
0.29,0.869898,0.855335,0.854071,0.996551,0.996926,0.996237,0.997573,0.996142,0.993777,0.992994,0.992753,0.992328,0.992666
0.3,0.862213,0.846263,0.845639,0.996638,0.996918,0.995756,0.997193,0.995689,0.993626,0.992109,0.992299,0.991382,0.991749
0.31,0.853331,0.83757,0.837216,0.996143,0.997,0.995373,0.996147,0.996097,0.993231,0.99175,0.991553,0.991351,0.991033
0.32,0.844954,0.828878,0.828078,0.996025,0.99677,0.995506,0.996771,0.994844,0.992449,0.991069,0.990348,0.989688,0.989905
0.33,0.835851,0.819763,0.818829,0.995483,0.996437,0.995354,0.996343,0.994755,0.991596,0.990382,0.9893,0.988833,0.988465
0.34,0.826915,0.810648,0.81015,0.995524,0.996125,0.994423,0.996365,0.994485,0.99086,0.989331,0.988059,0.987766,0.987159
0.35,0.817673,0.80142,0.801831,0.994893,0.996525,0.995418,0.996371,0.994442,0.989566,0.987784,0.986719,0.986231,0.985293
0.36,0.808109,0.791562,0.791918,0.994751,0.996006,0.994397,0.995731,0.994438,0.988198,0.986246,0.98497,0.984346,0.983399
0.37,0.799041,0.781846,0.782497,0.993903,0.995202,0.993958,0.995235,0.993769,0.986426,0.984457,0.98286,0.982196,0.981076
0.38,0.78921,0.771899,0.77304,0.994336,0.995413,0.993929,0.995244,0.992893,0.984556,0.981817,0.98046,0.979577,0.978159
0.39,0.779211,0.76213,0.761995,0.993521,0.994976,0.993433,0.995099,0.992969,0.982638,0.979889,0.978035,0.976981,0.975148
0.4,0.769062,0.752216,0.751833,0.993319,0.99378,0.993205,0.994467,0.992338,0.979572,0.976823,0.975348,0.973781,0.971644
0.41,0.758846,0.741738,0.741414,0.992983,0.994126,0.992934,0.99413,0.992011,0.976669,0.973272,0.971851,0.969967,0.967462
0.42,0.748655,0.73045,0.730718,0.992659,0.993189,0.992418,0.993899,0.991254,0.97302,0.96949,0.967694,0.965644,0.962792
0.43,0.738408,0.720492,0.720926,0.992266,0.992946,0.992077,0.993065,0.991573,0.969048,0.965216,0.96319,0.960725,0.957502
0.44,0.727685,0.71006,0.710146,0.991602,0.99201,0.991115,0.992664,0.990469,0.96409,0.960718,0.958053,0.955549,0.951762
0.45,0.716734,0.699119,0.699544,0.991411,0.99072,0.991053,0.991836,0.989216,0.959144,0.955201,0.95228,0.949598,0.945372
0.46,0.705717,0.687502,0.688529,0.990506,0.9897,0.990272,0.991197,0.98852,0.952482,0.94919,0.94547,0.94253,0.937865
0.47,0.694758,0.676649,0.677614,0.99027,0.988601,0.989407,0.990053,0.987694,0.946142,0.942584,0.938622,0.935164,0.930143
0.48,0.683486,0.665305,0.667024,0.989357,0.986891,0.989208,0.988928,0.987176,0.938456,0.934887,0.930806,0.92746,0.921659
0.49,0.672325,0.654225,0.655958,0.988604,0.985575,0.987587,0.987686,0.985448,0.930424,0.926709,0.922181,0.918685,0.912321
0.5,0.660902,0.642373,0.644591,0.986797,0.983981,0.986381,0.98557,0.983862,0.921432,0.917392,0.913037,0.909024,0.902711
0.51,0.649675,0.630415,0.63337,0.985974,0.981989,0.984954,0.984297,0.982097,0.91219,0.907807,0.903379,0.899264,0.89222
0.52,0.637763,0.618662,0.621736,0.983924,0.979661,0.982599,0.981825,0.980316,0.901579,0.897479,0.892672,0.8884,0.881179
0.53,0.625727,0.606955,0.610251,0.982459,0.977278,0.980287,0.97992,0.97833,0.890669,0.886547,0.881637,0.877278,0.869499
0.54,0.613961,0.5956,0.598663,0.979992,0.97453,0.977737,0.976524,0.974763,0.878738,0.875221,0.869948,0.86519,0.857392
0.55,0.601941,0.583664,0.58596,0.977291,0.970975,0.973743,0.973503,0.971471,0.86647,0.862976,0.857439,0.852567,0.844679
0.56,0.58999,0.571367,0.574129,0.973572,0.966938,0.969564,0.969491,0.967104,0.853479,0.850189,0.844744,0.839661,0.831101
0.57,0.577758,0.558789,0.562455,0.970458,0.961661,0.965211,0.964578,0.963418,0.840208,0.836602,0.830793,0.826105,0.81761
0.58,0.565609,0.546288,0.550782,0.966213,0.956919,0.960045,0.959402,0.956745,0.825907,0.822286,0.816831,0.81207,0.803406
0.59,0.553369,0.535246,0.538995,0.961695,0.949608,0.953286,0.952836,0.950579,0.811328,0.807729,0.802101,0.797383,0.788623
0.6,0.54068,0.522314,0.526513,0.956321,0.942594,0.946376,0.946362,0.943776,0.796177,0.793038,0.787108,0.782435,0.773606
0.61,0.528298,0.509252,0.516099,0.94967,0.93421,0.938247,0.937832,0.935436,0.780021,0.777602,0.771925,0.767167,0.758198
0.62,0.515517,0.496358,0.504159,0.942205,0.925243,0.929643,0.928626,0.925721,0.764713,0.76179,0.755681,0.751479,0.742477
0.63,0.503024,0.483648,0.492025,0.933653,0.914657,0.918947,0.918302,0.915906,0.748323,0.745482,0.739733,0.735124,0.726116
0.64,0.489877,0.471983,0.480468,0.924148,0.903378,0.907606,0.906571,0.904704,0.731503,0.728751,0.722988,0.718764,0.709591
0.65,0.477253,0.458617,0.467877,0.912903,0.890755,0.895373,0.895117,0.892613,0.714311,0.711814,0.706235,0.701647,0.692738
0.66,0.464587,0.446878,0.455497,0.900828,0.877092,0.881128,0.880807,0.878682,0.696774,0.694337,0.688926,0.684595,0.675822
0.67,0.451601,0.435544,0.443004,0.88741,0.86202,0.866529,0.865682,0.864162,0.678599,0.676573,0.671385,0.666799,0.658202
0.68,0.43826,0.420572,0.430431,0.872946,0.846202,0.850964,0.850302,0.848293,0.660867,0.658807,0.653373,0.649377,0.64028
0.69,0.425003,0.407949,0.417548,0.856776,0.82928,0.833538,0.833179,0.831781,0.642416,0.640549,0.635491,0.63133,0.622377
0.7,0.41198,0.394123,0.405899,0.839977,0.811191,0.815294,0.815394,0.813683,0.623674,0.621946,0.616876,0.613125,0.60405
0.71,0.398439,0.381828,0.392875,0.821469,0.792312,0.796578,0.796239,0.794715,0.604979,0.603285,0.598058,0.594475,0.585504
0.72,0.385393,0.370057,0.380503,0.802501,0.77239,0.776213,0.776236,0.775129,0.585229,0.583929,0.579266,0.575588,0.566938
0.73,0.372026,0.359231,0.36768,0.782028,0.751677,0.755318,0.75555,0.755088,0.565713,0.56474,0.559986,0.556474,0.548159
0.74,0.358108,0.346246,0.353669,0.760601,0.729926,0.733422,0.733927,0.732668,0.546055,0.54526,0.540764,0.537549,0.529019
0.75,0.344782,0.333379,0.340003,0.738,0.707315,0.710967,0.711568,0.710428,0.526198,0.525403,0.521318,0.517936,0.509628
0.76,0.331107,0.319889,0.32617,0.714881,0.684572,0.686975,0.68808,0.687034,0.506182,0.505394,0.501312,0.498269,0.490149
0.77,0.317454,0.306286,0.312794,0.690576,0.660525,0.663214,0.663983,0.663074,0.485728,0.485237,0.481369,0.478499,0.470411
0.78,0.303616,0.293696,0.300537,0.665541,0.635727,0.638014,0.639331,0.638635,0.465019,0.464669,0.461449,0.458253,0.450658
0.79,0.289779,0.280321,0.28675,0.639659,0.610347,0.612882,0.613824,0.613001,0.444639,0.444398,0.440969,0.438397,0.430853
0.8,0.275993,0.266301,0.273114,0.613129,0.584492,0.586835,0.587845,0.586987,0.423465,0.423462,0.420134,0.418245,0.410547
0.81,0.261997,0.252252,0.258741,0.585889,0.558151,0.560128,0.56124,0.560797,0.402701,0.402809,0.399652,0.397612,0.390111
0.82,0.247902,0.237873,0.243939,0.557728,0.531191,0.533047,0.533849,0.534141,0.381496,0.381761,0.37889,0.37681,0.369781
0.83,0.233912,0.223819,0.22727,0.529277,0.503694,0.505353,0.506169,0.506158,0.360221,0.360454,0.357971,0.356283,0.349118
0.84,0.219844,0.210997,0.212335,0.499538,0.475789,0.477187,0.478089,0.478223,0.33859,0.339148,0.336818,0.335392,0.328235
0.85,0.205786,0.196508,0.198802,0.470067,0.447513,0.44826,0.449563,0.449673,0.317078,0.317712,0.315662,0.313998,0.307608
0.86,0.191115,0.182577,0.185001,0.4398,0.418575,0.419115,0.420323,0.420553,0.295364,0.296379,0.294256,0.292879,0.286822
0.87,0.176564,0.168882,0.173562,0.408755,0.389252,0.389784,0.390807,0.391034,0.273524,0.274621,0.272564,0.271422,0.265521
0.88,0.162678,0.152802,0.1581,0.377622,0.359297,0.359534,0.360606,0.361199,0.251664,0.252548,0.25071,0.25022,0.244378
0.89,0.148417,0.139305,0.143447,0.345719,0.329476,0.329284,0.330502,0.33137,0.229253,0.230726,0.229292,0.228804,0.222857
0.9,0.134399,0.126199,0.128483,0.313597,0.299086,0.298773,0.299701,0.301061,0.207322,0.208551,0.207356,0.207108,0.201551
0.91,0.119888,0.112368,0.113707,0.281109,0.268063,0.267567,0.268567,0.27012,0.184677,0.186181,0.185583,0.185049,0.179786
0.92,0.105235,0.098856,0.100663,0.248082,0.236918,0.236342,0.237238,0.2386,0.162445,0.163982,0.163578,0.163228,0.158051
0.93,0.090583,0.08512,0.086028,0.21485,0.205467,0.204547,0.205386,0.207015,0.139851,0.141432,0.141492,0.140937,0.136169
0.94,0.076023,0.071136,0.072732,0.181291,0.17365,0.171826,0.17335,0.175185,0.117198,0.119006,0.119073,0.119109,0.114342
0.95,0.061431,0.056862,0.05888,0.147133,0.141449,0.139784,0.140994,0.142663,0.094426,0.096339,0.096342,0.09669,0.09233
0.96,0.046913,0.042596,0.045313,0.112981,0.108893,0.107268,0.108553,0.110581,0.071585,0.074315,0.073929,0.074586,0.070374
0.97,0.032249,0.028976,0.031178,0.078446,0.07656,0.074453,0.075684,0.07789,0.048606,0.051232,0.051639,0.052081,0.048215
0.98,0.01749,0.014765,0.017066,0.043464,0.043701,0.041025,0.042246,0.044594,0.025854,0.028425,0.028889,0.029649,0.026015
0.99,0.002822,0.000976,0.003177,0.008596,0.010457,0.007655,0.00905,0.010868,0.002713,0.005325,0.00612,0.006814,0.003698
1,0,0,0,0,0,0,0,0,0,0,0,0,0
